2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:12		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:13		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
